spec,stratum,section,object,field,text,obligation,auto_class,auto_rationale,final_class
2.6-202606,prose,2.2 - Security,,,It is strongly recommended that exchanges and bidders use only HTTPS.,recommendation,,needs manual coding,C
2.6-202606,prose,2.3 - Data Format,,,"Optionally, an exchange may also offer binary representations (e.g., compressed JSON, ProtoBuf, Avro, etc.), which can be more efficient in terms of transmission time and bandwidth.",permission,D,"permission, no conformance test",D
2.6-202606,prose,2.3 - Data Format,,,The IAB Tech Lab may offer reference implementations for these or other formats.,permission,D,"permission, no conformance test",X
2.6-202606,prose,2.3 - Data Format,,,"When available, the use of these reference implementations is highly recommended to reduce exchange-specific variations.",recommendation,D,bilateral/policy language,D
2.6-202606,prose,2.3 - Data Format,,,The format of the bid response must be the same as the bid request.,obligation,,needs manual coding,C
2.6-202606,prose,2.5 - OpenRTB Version HTTP Header,,,The OpenRTB Version should be passed in the header of a bid request with a custom header parameter.,recommendation,,needs manual coding,C
2.6-202606,prose,2.5 - OpenRTB Version HTTP Header,,,"Additionally, it is recommended albeit optional that bidders place an identically formatted message in the HTTP header of the response with the protocol version the bidder has implemented.",recommendation,,needs manual coding,C
2.6-202606,prose,2.5 - OpenRTB Version HTTP Header,,,The message may contain a different version number than the request header.,permission,D,"permission, no conformance test",C
2.6-202606,prose,2.5 - OpenRTB Version HTTP Header,,,This version should be specified as ` .,recommendation,,needs manual coding,C
2.6-202606,prose,2.6 - Versioning Behavior,,,"In other words, OpenRTB 2.7 should be considered a distinct version from OpenRTB 2.6 when there is a need for distinguishing versions.",recommendation,,needs manual coding,X
2.6-202606,prose,2.6 - Versioning Behavior,,,"- Bidders and exchanges must tolerate receiving new or unexpected fields and enumerated list values gracefully, treating them as unknown or ignoring them",obligation,,needs manual coding,C
2.6-202606,prose,2.6 - Versioning Behavior,,,- Bidders and exchanges should freely transmit new fields or enumerated list values,recommendation,,needs manual coding,D
2.6-202606,prose,2.6 - Versioning Behavior,,,"For example, if a new field or object is introduced in a future version of OpenRTB 2.6, exchanges should immediately start transmitting it to bidders, if the exchange chooses to implement support for that field.",recommendation,,needs manual coding,D
2.6-202606,prose,2.6 - Versioning Behavior,,,"Bidders should start consuming it at their discretion, if it is relevant to them.",recommendation,D,bilateral/policy language,D
2.6-202606,prose,2.6 - Versioning Behavior,,,"Neither party needs to explicitly negotiate an ""upgrade"" to the latest release, but rather should discuss specific fields of interest as they become available.",recommendation,,needs manual coding,D
2.6-202606,prose,2.6 - Versioning Behavior,,,New minor versions of OpenRTB 2.6 may introduce additional optional ways of handling things.,permission,D,"permission, no conformance test",X
2.6-202606,prose,2.6 - Versioning Behavior,,,Partners should discuss such situations before making breaking changes to their integrations.,recommendation,,needs manual coding,D
2.6-202606,prose,2.9 - Customization and Extensions,,,Any object may contain extensions.,permission,D,"permission, no conformance test",A
2.6-202606,prose,2.9 - Customization and Extensions,,,"To keep extension fields consistent across platforms, they should consistently be named `ext`.",recommendation,,needs manual coding,B
2.6-202606,prose,3. Bid Request Specification,,,"The bid request consists of the top-level bid request object, at least one impression object, and may optionally include additional objects providing impression context.",permission,D,"permission, no conformance test",A
2.6-202606,prose,3.1 - Object Model,,,"Of its direct subordinates, only `Imp` is technically required since it is fundamental to describing the impression being sold and it requires at least one of `Banner` (which may allow multiple formats), `Video`, `Audio`, and `Native` to define the type of impression (i.e., whichever one or more the publisher is willing to accept; although a bid will be for exactly one of those specified).",obligation,,needs manual coding,B
2.6-202606,prose,3.2.1 - Object: BidRequest,BidRequest,,This `id` attribute is required as is at least one impression object (Section 3.2.4).,obligation,,needs manual coding,A
2.6-202606,prose,3.2.1 - Object: BidRequest,BidRequest,,"These objects are highly recommended, but only one applies to a given bid request depending on whether the media is browser-based web content, a non-browser application, or Digital Out of Home inventory respectively.",recommendation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.1 - Object: BidRequest,BidRequest,id,The exchange may use different values for different recipients.,permission,D,"permission, no conformance test",D
2.6-202606,field-desc,3.2.1 - Object: BidRequest,BidRequest,imp,At least 1 `Imp` object is required.,obligation,,needs manual coding,A
2.6-202606,field-desc,3.2.1 - Object: BidRequest,BidRequest,site,Only applicable and recommended for websites.,recommendation,,needs manual coding,B
2.6-202606,field-desc,3.2.1 - Object: BidRequest,BidRequest,app,Only applicable and recommended for apps.,recommendation,,needs manual coding,B
2.6-202606,field-desc,3.2.1 - Object: BidRequest,BidRequest,dooh,This object should be included if the ad supported content is a Digital Out-Of-Home screen.,recommendation,,needs manual coding,B
2.6-202606,field-desc,3.2.1 - Object: BidRequest,BidRequest,dooh,A bid request with a DOOH object must not contain a site or app object.,obligation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.1 - Object: BidRequest,BidRequest,wseat,IDs of seats and knowledge of the buyer’s customers to which they refer must be coordinated between bidders and the exchange a priori.,obligation,D,bilateral/policy language,D
2.6-202606,field-desc,3.2.1 - Object: BidRequest,BidRequest,wseat,"At most, only one of `wseat` and `bseat` should be used in the same request.",recommendation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.1 - Object: BidRequest,BidRequest,bseat,IDs of seats and knowledge of the buyer’s customers to which they refer must be coordinated between bidders and the exchange a priori.,obligation,D,bilateral/policy language,D
2.6-202606,field-desc,3.2.1 - Object: BidRequest,BidRequest,bseat,"At most, only one of `wseat` and `bseat` should be used in the same request.",recommendation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.1 - Object: BidRequest,BidRequest,cur,Recommended only if the exchange accepts multiple currencies.,recommendation,,needs manual coding,D
2.6-202606,field-desc,3.2.1 - Object: BidRequest,BidRequest,wlang,Only one of `wlang` or `wlangb` should be present.,recommendation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.1 - Object: BidRequest,BidRequest,wlangb,Only one of `wlang` or `wlangb` should be present.,recommendation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.1 - Object: BidRequest,BidRequest,acat,Only one of `acat` or `bcat` should be present.,recommendation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.1 - Object: BidRequest,BidRequest,bcat,Only one of `acat` or `bcat` should be present.,recommendation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.1 - Object: BidRequest,BidRequest,bapp,"For mobile apps in Google Play Store, these should be bundle or package names (e.g. com.foo.mygame).",recommendation,,needs manual coding,B
2.6-202606,field-desc,3.2.1 - Object: BidRequest,BidRequest,bapp,"For apps in Apple App Store, these should be a numeric ID.",recommendation,,needs manual coding,B
2.6-202606,field-desc,3.2.2 - Object: Source,Source,tid,"Transaction ID that must be common across all participants in this bid request (e.g., potentially multiple exchanges).",obligation,,needs manual coding,C
2.6-202606,field-desc,3.2.3 - Object: Regs,Regs,gpp_sid,Array of the section(s) of the string which should be applied for this transaction.,recommendation,,needs manual coding,D
2.6-202606,field-desc,3.2.3 - Object: Regs,Regs,gpp_sid,"Generally will contain one and only one value, but there are edge cases where more than one may apply.",permission,D,bilateral/policy language,D
2.6-202606,prose,3.2.4 - Object: Imp,Imp,,Each `Imp` object has a required ID so that bids can reference them individually.,obligation,,needs manual coding,A
2.6-202606,prose,3.2.4 - Object: Imp,Imp,,"However, any given bid for the impression must conform to one of the offered type.",obligation,,needs manual coding,C
2.6-202606,field-desc,3.2.4 - Object: Imp,Imp,banner,A `Banner` object (section 3.2.6); required if this impression is offered as a banner ad opportunity.,obligation,,needs manual coding,B
2.6-202606,field-desc,3.2.4 - Object: Imp,Imp,video,A `Video` object (Section 3.2.7); required if this impression is offered as a video ad opportunity.,obligation,,needs manual coding,B
2.6-202606,field-desc,3.2.4 - Object: Imp,Imp,audio,An `Audio` object (Section 3.2.8); required if this impression is offered as an audio ad opportunity.,obligation,,needs manual coding,B
2.6-202606,field-desc,3.2.4 - Object: Imp,Imp,native,A `Native` object (Section 3.2.9); required if this impression is offered as a native ad opportunity.,obligation,,needs manual coding,B
2.6-202606,field-desc,3.2.4 - Object: Imp,Imp,displaymanager,Recommended for video and/or apps.,recommendation,,needs manual coding,B
2.6-202606,field-desc,3.2.4 - Object: Imp,Imp,displaymanagerver,Recommended for video and/or apps.,recommendation,,needs manual coding,B
2.6-202606,field-desc,3.2.4 - Object: Imp,Imp,bidfloorcur,This may be different from bid currency returned by bidder if this is allowed by the exchange.,permission,D,"permission, no conformance test",D
2.6-202606,field-desc,3.2.4 - Object: Imp,Imp,exp,Advisory as to the number of seconds that may elapse between the auction and the actual impression.,permission,D,"permission, no conformance test",D
2.6-202606,field-desc,3.2.5 - Object: Metric,Metric,type,Type of metric being presented using exchange curated string names which should be published to bidders a priori.,recommendation,D,bilateral/policy language,D
2.6-202606,field-desc,3.2.5 - Object: Metric,Metric,vendor,Source of the value using exchange curated string names which should be published to bidders a priori.,recommendation,D,bilateral/policy language,D
2.6-202606,field-desc,3.2.5 - Object: Metric,Metric,vendor,"If the exchange itself is the source versus a third party, “EXCHANGE” is recommended.",recommendation,,needs manual coding,B
2.6-202606,prose,3.2.6 - Object: Banner,Banner,,"Although the term “banner” may have very specific meaning in other contexts, here it can be many things including a simple static image, an expandable ad unit, or even in-banner video (refer to the `Video` object in Section 3.2.7 for the more generalized and full featured video ad units).",permission,D,"permission, no conformance test",X
2.6-202606,prose,3.2.6 - Object: Banner,Banner,,An array of `Banner` objects can also appear within the `Video` to describe optional companion ads defined in the VAST specification.,permission,D,"permission, no conformance test",A
2.6-202606,prose,3.2.6 - Object: Banner,Banner,,"At the publisher’s discretion, that same impression may also be offered as video, audio, and/or native by also including as `Imp` subordinates objects of those types.",permission,D,bilateral/policy language,A
2.6-202606,prose,3.2.6 - Object: Banner,Banner,,"However, any given bid for the impression must conform to one of the offered types.",obligation,,needs manual coding,C
2.6-202606,field-desc,3.2.6 - Object: Banner,Banner,format,"If none are specified, then use of the `h` and `w` attributes is highly recommended.",recommendation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.6 - Object: Banner,Banner,w,Exact width in device-independent pixels (DIPS); recommended if no `Format` objects are specified.,recommendation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.6 - Object: Banner,Banner,h,Exact height in device-independent pixels (DIPS); recommended if no `Format` objects are specified.,recommendation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.6 - Object: Banner,Banner,mimes,Popular MIME types may include `“image/jpeg”` and `“image/gif”`.,permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.6 - Object: Banner,Banner,expdir,Directions in which the banner may expand.,permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.6 - Object: Banner,Banner,id,Recommended when `Banner` objects are used with a `Video` object (Section 3.2.7) to represent an array of companion ads.,recommendation,,needs manual coding,B
2.6-202606,field-desc,3.2.6 - Object: Banner,Banner,id,Values usually start at 1 and increase with each object; should be unique within an impression.,recommendation,,needs manual coding,B
2.6-202606,prose,3.2.7 - Object: Video,Video,,"At the publisher’s discretion, that same impression may also be offered as `Banner`, `Audio`, and/or `Native` by also including as `Imp` subordinates objects of those types.",permission,D,bilateral/policy language,A
2.6-202606,prose,3.2.7 - Object: Video,Video,,"However, any given bid for the impression must conform to one of the offered types.",obligation,,needs manual coding,C
2.6-202606,field-desc,3.2.7 - Object: Video,Video,minduration,This field is mutually exclusive with `rqddurs`; only one of `minduration` and `rqddurs` may be in a bid request.,permission,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.7 - Object: Video,Video,maxduration,This field is mutually exclusive with `rqddurs`; only one of `maxduration` and `rqddurs` may be in a bid request.,permission,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.7 - Object: Video,Video,maxseq,Indicates the maximum number of ads that may be served into a “dynamic” video ad pod (where the precise number of ads is not predetermined by the seller).,permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.7 - Object: Video,Video,poddur,"Indicates the total amount of time in seconds that advertisers may fill for a “dynamic” video ad pod (See Section 7.6 for more details), or the dynamic portion of a “hybrid” ad pod.",permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.7 - Object: Video,Video,poddur,This field is required only for the dynamic portion(s) of video ad pods.,obligation,,needs manual coding,B
2.6-202606,field-desc,3.2.7 - Object: Video,Video,rqddurs,"This field is mutually exclusive with `minduration` and `maxduration`; if rqddurs is specified, `minduration` and `maxduration` must not be specified and vice versa.",obligation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.7 - Object: Video,Video,linearity,"Indicates if the impression must be linear, nonlinear, etc.",obligation,,needs manual coding,X
2.6-202606,field-desc,3.2.7 - Object: Video,Video,skip,"If a bidder sends markup/creative that is itself skippable, the `Bid` object should include the `attr` array with an element of 16 indicating skippable video.",recommendation,,needs manual coding,B
2.6-202606,field-desc,3.2.7 - Object: Video,Video,skipafter,Number of seconds a video must play before skipping is enabled; only applicable if the ad is skippable.,obligation,,needs manual coding,B
2.6-202606,field-desc,3.2.7 - Object: Video,Video,mincpmpersec,"This is a price floor for the ""dynamic"" portion of a video ad pod, relative to the duration of bids an advertiser may submit.",permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.7 - Object: Video,Video,maxextended,"If blank or 0, extension is not allowed.",obligation,,needs manual coding,X
2.6-202606,field-desc,3.2.7 - Object: Video,Video,playbackmethod,Playback methods that may be in use.,permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.7 - Object: Video,Video,playbackmethod,"If none are specified, any method may be used.",permission,B,cross-field/registry language,X
2.6-202606,field-desc,3.2.7 - Object: Video,Video,playbackmethod,"As a result, this array may be converted to an integer in a future version of the specification.",permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.7 - Object: Video,Video,companiontype,Recommended if companion `Banner` objects are included via the `companionad` array.,recommendation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.7 - Object: Video,Video,durfloors,An array of `DurFloors` objects (Section 3.2.35) indicating the floor prices for video creatives of various durations that the buyer may bid with.,permission,D,"permission, no conformance test",X
2.6-202606,prose,3.2.8 - Object: Audio,Audio,,"At the publisher’s discretion, that same impression may also be offered as `Banner`, `Video`, and/or `Native` by also including as `Imp` subordinates objects of those types.",permission,D,bilateral/policy language,A
2.6-202606,prose,3.2.8 - Object: Audio,Audio,,"However, any given bid for the impression must conform to one of the offered types.",obligation,,needs manual coding,C
2.6-202606,field-desc,3.2.8 - Object: Audio,Audio,minduration,This field is mutually exclusive with `rqddurs`; only one of `minduration` and `rqddurs` may be in a bid request.,permission,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.8 - Object: Audio,Audio,maxduration,This field is mutually exclusive with `rqddurs`; only one of `maxduration` and `rqddurs` may be in a bid request.,permission,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.8 - Object: Audio,Audio,poddur,"Indicates the total amount of time that advertisers may fill for a ""dynamic"" audio ad pod, or the dynamic portion of a ""hybrid"" ad pod.",permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.8 - Object: Audio,Audio,poddur,This field is required only for the dynamic portion(s) of audio ad pods.,obligation,,needs manual coding,B
2.6-202606,field-desc,3.2.8 - Object: Audio,Audio,rqddurs,"This field is mutually exclusive with `minduraiton` and `maxduration`; if `rqddurs` is specified, `minduraiton` and `maxduration` must not be specified and vice versa.",obligation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.8 - Object: Audio,Audio,mincpmpersec,"This is a price floor for the “dynamic” portion of an audio ad pod, relative to the duration of bids an advertiser may submit.",permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.8 - Object: Audio,Audio,maxextended,"If blank or 0, extension is not allowed.",obligation,,needs manual coding,X
2.6-202606,field-desc,3.2.8 - Object: Audio,Audio,companiontype,Recommended if companion `Banner` objects are included via the `companionad` array.,recommendation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.8 - Object: Audio,Audio,durfloors,An array of `DurFloors` objects (Section 3.2.35) indicating the floor prices for audio creatives of various durations that the buyer may bid with.,permission,D,"permission, no conformance test",X
2.6-202606,prose,3.2.9 - Object: Native,Native,,"As such, the response must be well-structured to afford the publisher fine-grained control over rendering.",obligation,,needs manual coding,D
2.6-202606,prose,3.2.9 - Object: Native,Native,,"At the publisher’s discretion, that same impression may also be offered as `Banner`, `Video`, and/or `Audio` by also including as `Imp` subordinates objects of those types.",permission,D,bilateral/policy language,A
2.6-202606,prose,3.2.9 - Object: Native,Native,,"However, any given bid for the impression must conform to one of the offered types.",obligation,,needs manual coding,C
2.6-202606,field-desc,3.2.9 - Object: Native,Native,ver,Version of the Dynamic Native Ads API to which `request` complies; highly recommended for efficient parsing.,recommendation,,needs manual coding,B
2.6-202606,prose,3.2.10 - Object: Format,Format,,"It is recommended that either the `w`/`h` pair or the `wratio`/`hratio`/`wmin` set (i.e., for Flex Ads) be specified.",recommendation,B,cross-field/registry language,B
2.6-202606,prose,3.2.11 - Object: Pmp,Pmp,,This object is the private marketplace container for direct deals between buyers and sellers that may pertain to this impression.,permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.12 - Object: Deal,Deal,bidfloorcur,This may be different from bid currency returned by bidder if this is allowed by the exchange.,permission,D,"permission, no conformance test",D
2.6-202606,field-desc,3.2.12 - Object: Deal,Deal,at,"Optional override of the overall auction type of the bid request, where 1 = First Price, 2 = Second Price Plus, 3 = the value passed in `bidfloor` is the agreed upon deal price.",permission,A,type/enum wording,A
2.6-202606,field-desc,3.2.12 - Object: Deal,Deal,wseat,IDs of seats and the buyer’s customers to which they refer must be coordinated between bidders and the exchange a priori.,obligation,D,bilateral/policy language,D
2.6-202606,field-desc,3.2.12 - Object: Deal,Deal,guar,"Indicates that the deal is of type `guaranteed` and the bidder must bid on the deal, where 0 = not a guaranteed deal, 1 = guaranteed deal.",obligation,A,type/enum wording,A
2.6-202606,field-desc,3.2.12 - Object: Deal,Deal,mincpmpersec,"This is a price floor for video or audio impression opportunities, relative to the duration of bids an advertiser may submit.",permission,D,"permission, no conformance test",X
2.6-202606,prose,3.2.13 - Object: Site,Site,,This object should be included if the ad supported content is a website as opposed to a non-browser application or Digital Out of Home (DOOH) inventory.,recommendation,,needs manual coding,B
2.6-202606,prose,3.2.13 - Object: Site,Site,,"A bid request must not contain more than one of a `Site`, `App` or `DOOH` object.",obligation,B,cross-field/registry language,B
2.6-202606,prose,3.2.13 - Object: Site,Site,,"At a minimum, it is useful to provide a site ID or page URL, but this is not strictly required.",obligation,,needs manual coding,X
2.6-202606,field-desc,3.2.13 - Object: Site,Site,name,Site name (may be aliased at the publisher's request).,permission,D,"permission, no conformance test",D
2.6-202606,field-desc,3.2.13 - Object: Site,Site,keywords,Only one of `keywords` or `kwarray` may be present.,permission,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.13 - Object: Site,Site,kwarray,Only one of `keywords` or `kwarray` may be present.,permission,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.13 - Object: Site,Site,kwarray,The content owner's domain should be listed in the site owner's ads.txt file as an `inventorypartnerdomain`.,recommendation,,needs manual coding,C
2.6-202606,field-desc,3.2.13 - Object: Site,Site,inventorypartnerdomain,The content owner's domain should be listed in the site owner's ads.txt file as an `inventorypartnerdomain`.,recommendation,,needs manual coding,C
2.6-202606,prose,3.2.14 - Object: App,App,,This object should be included if the ad supported content is a non-browser application (typically in mobile) as opposed to a website.,recommendation,D,bilateral/policy language,B
2.6-202606,prose,3.2.14 - Object: App,App,,"A bid request must not contain more than one of a `Site`, `App` or `DOOH` object.",obligation,B,cross-field/registry language,B
2.6-202606,prose,3.2.14 - Object: App,App,,"At a minimum, it is useful to provide an App ID or bundle, but this is not strictly required.",obligation,,needs manual coding,X
2.6-202606,field-desc,3.2.14 - Object: App,App,name,App name (may be aliased at the publisher's request).,permission,D,"permission, no conformance test",D
2.6-202606,field-desc,3.2.14 - Object: App,App,bundle,"For mobile apps in Google Play Store, these should be bundle or package names (e.g. com.foo.mygame).",recommendation,,needs manual coding,B
2.6-202606,field-desc,3.2.14 - Object: App,App,bundle,"For apps in Apple App Store, these should be a numeric ID.",recommendation,,needs manual coding,B
2.6-202606,field-desc,3.2.14 - Object: App,App,keywords,Only one of `keywords` or `kwarray` may be present.,permission,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.14 - Object: App,App,kwarray,Only one of `keywords` or `kwarray` may be present.,permission,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.14 - Object: App,App,kwarray,The content owner's domain should be listed in the app owner's app-ads.txt file as an `inventorypartnerdomain`.,recommendation,,needs manual coding,C
2.6-202606,field-desc,3.2.14 - Object: App,App,inventorypartnerdomain,The content owner's domain should be listed in the app owner's app-ads.txt file as an `inventorypartnerdomain`.,recommendation,,needs manual coding,C
2.6-202606,prose,3.2.15 - Object: Publisher,Publisher,,"This may be a publisher, intermediary exchange, ad network, etc.",permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.15 - Object: Publisher,Publisher,id,Every ID must map to only a single entity that is paid for inventory transacted via that ID.,obligation,,needs manual coding,C
2.6-202606,field-desc,3.2.15 - Object: Publisher,Publisher,name,Seller name (may be aliased at the seller's request).,permission,D,"permission, no conformance test",D
2.6-202606,prose,3.2.16 - Object: Content,Content,,"This object describes the content in which the impression will appear, which may be syndicated or non-syndicated content.",permission,D,"permission, no conformance test",X
2.6-202606,prose,3.2.16 - Object: Content,Content,,This object may be useful when syndicated content contains impressions and does not necessarily match the publisher’s general content.,permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.16 - Object: Content,Content,keywords,Only one of `keywords` or `kwarray` may be present.,permission,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.16 - Object: Content,Content,kwarray,Only one of `keywords` or `kwarray` may be present.,permission,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.16 - Object: Content,Content,language,Only one of `language` or `langb` should be present.,recommendation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.16 - Object: Content,Content,langb,Only one of `language` or `langb` should be present.,recommendation,B,cross-field/registry language,B
2.6-202606,prose,3.2.17 - Object: Producer,Producer,,This is particularly useful when the content is syndicated and may be distributed through different publishers and thus when the producer and publisher are not necessarily the same entity.,permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.17 - Object: Producer,Producer,id,Useful if content is syndicated and may be posted on a site using embed tags.,permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.18 - Object: Device,Device,lmt,"“Limit Ad Tracking” signal commercially endorsed (e.g., iOS, Android), where 0 = tracking is unrestricted, 1 = tracking must be limited per commercial guidelines.",obligation,A,type/enum wording,A
2.6-202606,field-desc,3.2.18 - Object: Device,Device,ua,"For backwards compatibility, exchanges are recommended to always populate `ua` with the User-Agent string, when available from the end user’s device, even if an alternative representation, such as the User-Agent Client-Hints, is available and is used to populate `sua`.",recommendation,,needs manual coding,B
2.6-202606,field-desc,3.2.18 - Object: Device,Device,ua,"If a client supports User-Agent Client Hints, and `sua` field is present, bidders are recommended to rely on `sua` for detecting device type, browser type and version and other purposes that rely on the user agent information, and ignore `ua` field.",recommendation,B,cross-field/registry language,D
2.6-202606,field-desc,3.2.18 - Object: Device,Device,ua,This is because the `ua` may contain a frozen or reduced user agent string.,permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.18 - Object: Device,Device,sua,"If both `ua` and `sua` are present in the bid request, `sua` should be considered the more accurate representation of the device attributes.",recommendation,B,cross-field/registry language,D
2.6-202606,field-desc,3.2.18 - Object: Device,Device,sua,This is because the `ua` may contain a frozen or reduced user agent string.,permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.18 - Object: Device,Device,language,Only one of `language` or `langb` should be present.,recommendation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.18 - Object: Device,Device,langb,Only one of `language` or `langb` should be present.,recommendation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.18 - Object: Device,Device,carrier,"Carrier or ISP (e.g., “VERIZON”) using exchange curated string names which should be published to bidders a priori.",recommendation,D,bilateral/policy language,D
2.6-202606,field-desc,3.2.18 - Object: Device,Device,mccmnc,Note that the dash between the MCC and MNC parts is required to remove parsing ambiguity.,obligation,,needs manual coding,A
2.6-202606,field-desc,3.2.18 - Object: Device,Device,mccmnc,"Roaming may be inferred by a combination of the MCC-MNC, geo, IP and other data signals.",permission,D,"permission, no conformance test",X
2.6-202606,prose,3.2.19 - Object: Geo,Geo,,The `lat`/`lon` attributes should only be passed if they conform to the accuracy depicted in the `type` attribute.,recommendation,,needs manual coding,D
2.6-202606,prose,3.2.19 - Object: Geo,Geo,,"For example, the centroid of a geographic region such as postal code should not be passed.",recommendation,,needs manual coding,D
2.6-202606,field-desc,3.2.19 - Object: Geo,Geo,type,Source of location data; recommended when passing `lat`/`lon`.,recommendation,,needs manual coding,B
